country,iso3,year,indicator,value
Czechia,CZE,2020,gdp_growth,-5.30487955463876
Czechia,CZE,2021,gdp_growth,4.02901832055149
Czechia,CZE,2022,gdp_growth,2.8471706583814
Czechia,CZE,2023,gdp_growth,0.0475803308973752
Czechia,CZE,2024,gdp_growth,1.25131096245923
Czechia,CZE,2025,gdp_growth,2.58046673293437
Czechia,CZE,2019,inflation,2.84787595918041
Czechia,CZE,2020,inflation,3.1612952849781
Czechia,CZE,2021,inflation,3.83984491500146
Czechia,CZE,2022,inflation,15.1001651468371
Czechia,CZE,2023,inflation,10.6612601372427
Czechia,CZE,2024,inflation,2.43531202435314
Czechia,CZE,2025,inflation,2.45996367838865
Czechia,CZE,2019,reserves_months,9.06849990975418
Czechia,CZE,2020,reserves_months,11.3938793048782
Czechia,CZE,2021,reserves_months,9.363554473226
Czechia,CZE,2022,reserves_months,6.83372087751841
Czechia,CZE,2023,reserves_months,7.09632126966092
Czechia,CZE,2024,reserves_months,6.9620214293683
Czechia,CZE,2025,reserves_months,7.64375278763755
"Egypt, Arab Rep.",EGY,2019,current_account,-3.20758543154938
"Egypt, Arab Rep.",EGY,2020,current_account,-3.70903990583375
"Egypt, Arab Rep.",EGY,2021,current_account,-4.38240299812001
"Egypt, Arab Rep.",EGY,2022,current_account,-2.2100904275198
"Egypt, Arab Rep.",EGY,2023,current_account,-3.17338763053558
"Egypt, Arab Rep.",EGY,2024,current_account,-5.68596234093524
"Egypt, Arab Rep.",EGY,2025,current_account,-3.81547628555514
"Egypt, Arab Rep.",EGY,2019,external_debt_gni,37.3486377137165
"Egypt, Arab Rep.",EGY,2020,external_debt_gni,35.5843178235706
"Egypt, Arab Rep.",EGY,2021,external_debt_gni,35.4130599251787
"Egypt, Arab Rep.",EGY,2022,external_debt_gni,35.3832819125992
"Egypt, Arab Rep.",EGY,2023,external_debt_gni,44.4212432479616
"Egypt, Arab Rep.",EGY,2024,external_debt_gni,41.9820138564051
"Egypt, Arab Rep.",EGY,2019,gdp_growth,5.55209307084222
"Egypt, Arab Rep.",EGY,2020,gdp_growth,3.55016483883115
"Egypt, Arab Rep.",EGY,2021,gdp_growth,3.29064601193245
"Egypt, Arab Rep.",EGY,2022,gdp_growth,6.58784560870467
"Egypt, Arab Rep.",EGY,2023,gdp_growth,3.76028052279247
"Egypt, Arab Rep.",EGY,2024,gdp_growth,2.3991692678251
